"id","addresse","city","name","postal_code","phone_number"
1,"12 rue Principal
","Nancy","Hopital central","54500",NULL
2,"Rue des Vosges","Remiremont","LACHAUX","88200",NULL
3,"Rue du pont Jean","Fresse","Maison","88160",NULL
4,"Rue du thillot","LE thillot","Pharmacie le thillot","88160",NULL
6,"45, Avenue de Manchester","Charleville-Mézières","Grand centre de vaccination","08000","+33972760250 "
7,", avenue Côte de Nacre","Caen","CHU DE CAEN NORMANDIE","14000","+33800009110"
8,"16, Rue de la Société Française","Vierzon","Centre de vaccination - Centre des congrès de Vierzon","18100","0 800 009 110"
9,"2, Rue bis Saint-Thomas - salle salvador allende","Saint-Lô","Centre de vaccination de Saint-Lô : Salle Allende","50000","+33800009110"
10,"604, Chemin de Falconaja","Bastia","CH Bastia","20600","+33495591832"
11,", rue de la Croix Duchet","Saint-Amand-Montrond","Centre de vaccination de cure médicale de la Croix Duchet - Saint-Amand-Montrond","18200","+0 800 009 110"
12,", Av du Mal de Lattre de Tassigny","Troyes","Centre de vaccination du CH Troyes( ancien LIDL)","10000","+33325497584"
13,", chemin guazzole","Calvi","CH Calvi Balagne","20260","+33750630663"
14,"4, Rue Claude Bernard","Le Coudray","Centre de vaccination - réservé professionnels de santé et assimilés"" - CH Chartres","28630","0 800 009 110"
15,"16, Rue Claude Nicolas Ledoux","Châteauroux","CH Châteauroux / Pôle de soins de suite et réadaptation ","36000","0 800 009 110"
16,"2, Rue Jeanne d'Arc","Chaumont","CH Chaumont","52000","+33627273952"
17,"Parc des Expositions, Rue Georges Brassens","Issoudun","Centre de vaccination d'Issoudun","36100","08 05 02 14 00"
18,"5, Rue Jehan Fouquet","Tours","CHRU Tours / Centre de vaccination - réservé aux professionnels en exercice","37000","+33247477560"
19,"129, Rue Saint Jean","Saint-Apollinaire","SAINT APOLINAIRE Maison des associations Esplanade François Manière","21850","+33345810421"
20,"1, Rue Albert Schweitzer","Saint-Dizier","CH Saint-Dizier","52100","+33325568434"
21,"355, Cacciabello","Sartène","CH Sartène","20100","+33495779513"
22,"3, Boulevard Alexandre Fleming","Besançon","CHU Besançon","25000","0363421013"
23,"4, Rue Auguste Rodin","Besançon","Polyclinique de Franche-Comté","25000","+033974134610"
24,"2, Rue Henri le Guilloux","Rennes","RENNES - CHU Pontchaillou (réservé PS)","35000","+33299288422"
25,"7, Boulevard Lamarck","Bourges","Centre de vaccination CPTS - Rives d'Auron","18000","0 800 009 110"
26,", Rd Point de Girac","Saint-Michel","CH ANGOULEME","16470","+33545244000"
27,"1, Rue Terrail Lemone","Bourbonne-les-Bains","CH Bourbonne-les-Bains","52400","+33325877007"
28,"10, Boulevard Beauvallet","Pithiviers","Centre hospitalier de Pithiviers","45300","0 801 90 45 00"
29,", Avenue Marechal Juin","Ajaccio","CH Ajaccio (Centre de vaccination les Salines)","20090","+33495296700"
30,"19, Rue des Vauzelles","Châteaubernard","Centre de vaccination du CH COGNAC","16100","+33545801616"
31,"280 , Place d'Armes du commandant Chauchard","Langres","Ch Langres","52200",NULL
32,"7, Allée de la Maison Rouge","Nantes","Centre de vaccination - CHU de NANTES- Réservé professionnels libéraux","44000","+33244768667"
33,"1, Place Henri Coursaget","Confolens","CH CONFOLENS","16500","+33545844011"
34,"15, Rue de l'Hôpital","Ruffec","CH RUFFEC","16700","+33545295008"
35,"4, Rue Larrey","Angers","Plateau de consultations du service de maladies infectieuses - ANGERS -professionnels de santé extérieurs au CHU","49100",NULL
36,"20, Boulevard Maurice Guillaudot","Vannes","VANNES - CHBA (réservé PS)","56000","+33297019956"
37,"2, Route de Chez Goujon","Barbezieux-Saint-Hilaire","Centre de vaccination du CH SUD-CHARENTE","16300","+33545787804"
38,", Boulevard Dr Lacroix","Narbonne","CH Narbonne","11100","+33800541919"
39,"702, Chemin Auguste Girard","Manosque","CHI Louis Raffali Manosque","04100","+33492734371"
